# Constructed from biom file
#OTU ID	Run1a	Run2b	Run3c	Run4
seq_1	6594.0	4139.0	4791.0	5133.0
seq_2	6657.0	3732.0	4135.0	5419.0
seq_3	5884.0	3738.0	4014.0	4530.0
seq_4	4762.0	2605.0	3114.0	4528.0
seq_5	5220.0	2870.0	3487.0	3040.0
seq_6	4406.0	2545.0	2832.0	3488.0
seq_7	4364.0	2467.0	2540.0	3423.0
seq_8	3662.0	2496.0	3045.0	2699.0
seq_9	3788.0	2588.0	2566.0	2915.0
seq_10	3552.0	2076.0	2585.0	1761.0
seq_11	3078.0	1669.0	1831.0	2298.0
seq_12	2266.0	1388.0	1428.0	2194.0
seq_13	2096.0	1193.0	1499.0	2019.0
seq_14	2012.0	1208.0	1521.0	1824.0
seq_15	2183.0	1330.0	1390.0	1627.0
seq_16	1901.0	1276.0	1572.0	1772.0
seq_17	1778.0	1165.0	1305.0	1409.0
seq_18	1639.0	924.0	1092.0	1525.0
seq_19	1317.0	671.0	721.0	1004.0
seq_20	1174.0	682.0	781.0	932.0
seq_21	964.0	799.0	870.0	832.0
seq_22	850.0	566.0	549.0	417.0
seq_23	381.0	233.0	255.0	362.0
seq_24	335.0	191.0	205.0	343.0
seq_25	209.0	142.0	182.0	137.0
seq_26	176.0	94.0	125.0	0.0
seq_27	163.0	103.0	111.0	0.0
seq_28	106.0	51.0	66.0	0.0
seq_29	90.0	61.0	72.0	0.0
seq_30	0.0	0.0	4.0	0.0
seq_31	0.0	3.0	0.0	0.0
seq_32	0.0	0.0	3.0	0.0
seq_33	0.0	0.0	3.0	0.0
seq_34	0.0	0.0	3.0	0.0
seq_35	0.0	0.0	0.0	3.0
seq_36	0.0	2.0	0.0	0.0
seq_37	1.0	0.0	0.0	0.0
seq_38	1.0	0.0	0.0	0.0
seq_39	0.0	1.0	0.0	0.0
seq_40	0.0	0.0	1.0	0.0
seq_41	0.0	0.0	1.0	0.0
seq_42	0.0	0.0	1.0	0.0
seq_43	0.0	0.0	1.0	0.0
