# Constructed from biom file
#OTU ID	Run1a	Run2b	Run3c	Run4
seq_1	8284.0	4955.0	5905.0	6548.0
seq_2	8351.0	4475.0	4997.0	7219.0
seq_3	7911.0	4663.0	5220.0	6214.0
seq_4	6245.0	3306.0	3926.0	6162.0
seq_5	6838.0	3631.0	4557.0	4337.0
seq_6	5767.0	3186.0	3558.0	4746.0
seq_7	5373.0	2959.0	3094.0	4275.0
seq_8	4916.0	3160.0	3238.0	3744.0
seq_9	4581.0	2943.0	3682.0	3456.0
seq_10	5219.0	2864.0	3717.0	2661.0
seq_11	3707.0	1975.0	2239.0	2803.0
seq_12	3252.0	1816.0	1914.0	2579.0
seq_13	2949.0	1684.0	1774.0	3004.0
seq_14	2693.0	1458.0	1836.0	2620.0
seq_15	2560.0	1481.0	1859.0	2515.0
seq_16	2340.0	1516.0	1875.0	2199.0
seq_17	2417.0	1509.0	1713.0	1915.0
seq_18	2056.0	1100.0	1337.0	1938.0
seq_19	1368.0	1077.0	1184.0	1304.0
seq_20	1602.0	803.0	886.0	1271.0
seq_21	1391.0	813.0	939.0	1172.0
seq_22	1156.0	762.0	725.0	643.0
seq_23	492.0	290.0	322.0	496.0
seq_24	434.0	236.0	251.0	442.0
seq_25	311.0	206.0	240.0	223.0
seq_26	234.0	127.0	167.0	0.0
seq_27	237.0	135.0	146.0	0.0
seq_28	124.0	83.0	110.0	0.0
seq_29	143.0	63.0	90.0	0.0
seq_30	74.0	54.0	49.0	0.0
seq_31	43.0	0.0	0.0	0.0
seq_32	0.0	4.0	0.0	0.0
seq_33	0.0	0.0	4.0	0.0
seq_34	0.0	3.0	0.0	0.0
seq_35	0.0	3.0	0.0	0.0
seq_36	0.0	0.0	3.0	0.0
seq_37	0.0	0.0	0.0	3.0
seq_38	0.0	2.0	0.0	0.0
seq_39	1.0	0.0	0.0	0.0
seq_40	0.0	0.0	0.0	1.0
seq_41	0.0	0.0	0.0	1.0
