# Constructed from biom file
#OTU ID	Run1a	Run2b	Run3c	Run4
seq_1	7913.0	4801.0	5705.0	6274.0
seq_2	8029.0	4352.0	4850.0	6854.0
seq_3	7440.0	4474.0	5014.0	5870.0
seq_4	5922.0	3182.0	3789.0	5858.0
seq_5	6495.0	3478.0	4400.0	4075.0
seq_6	5483.0	3057.0	3437.0	4510.0
seq_7	5171.0	2855.0	2975.0	4106.0
seq_8	4684.0	3038.0	3127.0	3601.0
seq_9	4402.0	2859.0	3594.0	3301.0
seq_10	4866.0	2679.0	3519.0	2485.0
seq_11	3582.0	1907.0	2170.0	2720.0
seq_12	2813.0	1611.0	1707.0	2852.0
seq_13	3021.0	1720.0	1818.0	2404.0
seq_14	2583.0	1399.0	1784.0	2525.0
seq_15	2450.0	1420.0	1801.0	2377.0
seq_16	2240.0	1470.0	1818.0	2130.0
seq_17	2272.0	1437.0	1631.0	1790.0
seq_18	1965.0	1072.0	1284.0	1855.0
seq_19	1275.0	1020.0	1122.0	1195.0
seq_20	1545.0	768.0	862.0	1226.0
seq_21	1352.0	793.0	901.0	1121.0
seq_22	1119.0	726.0	701.0	609.0
seq_23	462.0	278.0	309.0	466.0
seq_24	410.0	228.0	244.0	423.0
seq_25	296.0	196.0	232.0	201.0
seq_26	223.0	122.0	155.0	0.0
seq_27	223.0	130.0	141.0	0.0
seq_28	118.0	78.0	103.0	0.0
seq_29	137.0	60.0	87.0	0.0
seq_30	66.0	45.0	44.0	0.0
seq_31	42.0	0.0	0.0	0.0
seq_32	0.0	4.0	0.0	0.0
seq_33	0.0	0.0	4.0	0.0
seq_34	0.0	3.0	0.0	0.0
seq_35	0.0	3.0	0.0	0.0
seq_36	0.0	0.0	3.0	0.0
seq_37	0.0	0.0	0.0	3.0
seq_38	0.0	2.0	0.0	0.0
seq_39	1.0	0.0	0.0	0.0
seq_40	1.0	0.0	0.0	0.0
seq_41	0.0	0.0	0.0	1.0
seq_42	0.0	0.0	0.0	1.0
