# Constructed from biom file
#OTU ID	Run4	Run1a	Run2b	Run3c
c06035f93d1c6658c7c231af262a0f4f	4663.0	5412.0	3031.0	3343.0
d2ec2a203579d649d4f386e8771192e0	4545.0	5570.0	3477.0	4073.0
91a2968f8d4d785668d4afa9b0e72103	4045.0	4024.0	2185.0	2587.0
42be79a5ce5d0934eee79a7ecc44d613	3928.0	4813.0	2998.0	3289.0
d48bdba83874ccb76fe5d746edb6528d	3044.0	3597.0	2050.0	2280.0
7a24280026d3e6732675518bf7611b3d	2689.0	3185.0	1780.0	1802.0
d7af5382db7320afc85bc3bf909b69fc	2612.0	4227.0	2286.0	2782.0
d795c41b142324f306762a79f94e8c1c	2502.0	3064.0	2056.0	2066.0
d4b6b6e2456a8ae688f840b102186f8f	2286.0	3005.0	2015.0	2479.0
c38630920dfcc6b25bf5fb624d753426	1891.0	1868.0	1113.0	1136.0
48144e8d66253584b88e09a8c2912649	1767.0	1759.0	970.0	1200.0
76e0c8847debb52a90213e3818f1d249	1548.0	1621.0	1048.0	1341.0
be059b2c0181adf0d85de751784277e9	1545.0	1611.0	958.0	1206.0
c53b7b86b0ef6e27a116b63c88d3a3c2	1544.0	3012.0	1683.0	2133.0
a4a00acd66b5784f933e589e1248eebf	1421.0	1812.0	1024.0	1111.0
955b455d9757444d3ec5cd116bbd5193	1244.0	1492.0	959.0	1054.0
6bf6a0eea56125e2c262218043d804eb	1228.0	1219.0	681.0	792.0
fd029d4265fd5ac7e427464a43970bce	895.0	1234.0	654.0	789.0
07cfd62bf2760fe395fc61887a520422	702.0	774.0	639.0	712.0
610075f9f1b0370f492523743949c53f	349.0	640.0	434.0	414.0
e5f806651cdc80277241ca9022d038d6	133.0	126.0	73.0	96.0
