# Constructed from biom file
#OTU ID	Run4	Run1a	Run2b	Run3c
c06035f93d1c6658c7c231af262a0f4f	5633.0	6328.0	3422.0	3795.0
d2ec2a203579d649d4f386e8771192e0	5384.0	6504.0	3900.0	4655.0
91a2968f8d4d785668d4afa9b0e72103	5038.0	4917.0	2582.0	3061.0
42be79a5ce5d0934eee79a7ecc44d613	4994.0	5947.0	3494.0	3967.0
d48bdba83874ccb76fe5d746edb6528d	3836.0	4380.0	2381.0	2677.0
d7af5382db7320afc85bc3bf909b69fc	3391.0	5195.0	2703.0	3387.0
7a24280026d3e6732675518bf7611b3d	3091.0	3644.0	1995.0	2023.0
d795c41b142324f306762a79f94e8c1c	2974.0	3650.0	2341.0	2433.0
d4b6b6e2456a8ae688f840b102186f8f	2739.0	3503.0	2245.0	2818.0
c38630920dfcc6b25bf5fb624d753426	2383.0	2254.0	1287.0	1330.0
c53b7b86b0ef6e27a116b63c88d3a3c2	2135.0	4056.0	2197.0	2836.0
48144e8d66253584b88e09a8c2912649	2110.0	2104.0	1111.0	1397.0
a4a00acd66b5784f933e589e1248eebf	2058.0	2559.0	1349.0	1464.0
be059b2c0181adf0d85de751784277e9	1950.0	1896.0	1088.0	1393.0
76e0c8847debb52a90213e3818f1d249	1768.0	1840.0	1160.0	1494.0
955b455d9757444d3ec5cd116bbd5193	1553.0	1890.0	1157.0	1290.0
6bf6a0eea56125e2c262218043d804eb	1451.0	1426.0	766.0	908.0
fd029d4265fd5ac7e427464a43970bce	1011.0	1375.0	717.0	898.0
07cfd62bf2760fe395fc61887a520422	1002.0	1045.0	790.0	876.0
610075f9f1b0370f492523743949c53f	493.0	840.0	540.0	520.0
e5f806651cdc80277241ca9022d038d6	161.0	136.0	72.0	99.0
