# Constructed from biom file
#OTU ID	Run4	Run1a	Run2b	Run3c
c06035f93d1c6658c7c231af262a0f4f	5529.0	6258.0	3391.0	3756.0
d2ec2a203579d649d4f386e8771192e0	5320.0	6422.0	3866.0	4609.0
91a2968f8d4d785668d4afa9b0e72103	4957.0	4829.0	2547.0	3018.0
42be79a5ce5d0934eee79a7ecc44d613	4881.0	5799.0	3451.0	3924.0
d48bdba83874ccb76fe5d746edb6528d	3762.0	4309.0	2349.0	2648.0
d7af5382db7320afc85bc3bf909b69fc	3304.0	5084.0	2659.0	3356.0
7a24280026d3e6732675518bf7611b3d	3070.0	3608.0	1976.0	2014.0
d795c41b142324f306762a79f94e8c1c	2940.0	3601.0	2324.0	2413.0
d4b6b6e2456a8ae688f840b102186f8f	2685.0	3458.0	2228.0	2795.0
c38630920dfcc6b25bf5fb624d753426	2342.0	2214.0	1264.0	1317.0
48144e8d66253584b88e09a8c2912649	2084.0	2079.0	1093.0	1385.0
c53b7b86b0ef6e27a116b63c88d3a3c2	2075.0	3938.0	2132.0	2781.0
a4a00acd66b5784f933e589e1248eebf	1979.0	2466.0	1315.0	1432.0
be059b2c0181adf0d85de751784277e9	1917.0	1871.0	1076.0	1379.0
76e0c8847debb52a90213e3818f1d249	1753.0	1825.0	1152.0	1487.0
955b455d9757444d3ec5cd116bbd5193	1504.0	1842.0	1137.0	1266.0
6bf6a0eea56125e2c262218043d804eb	1426.0	1410.0	758.0	899.0
fd029d4265fd5ac7e427464a43970bce	1005.0	1373.0	714.0	888.0
07cfd62bf2760fe395fc61887a520422	959.0	1016.0	773.0	857.0
610075f9f1b0370f492523743949c53f	486.0	818.0	533.0	507.0
e5f806651cdc80277241ca9022d038d6	153.0	130.0	75.0	96.0
518dccb98f7abc439ec5098eac6eb11f	0.0	4.0	2.0	4.0
