# Constructed from biom file
#OTU ID	Run1a	Run2b	Run3c	Run4
199716	0.0	2.0	1.0	4.0
12574	1410.0	1028.0	1183.0	1259.0
549756	0.0	2.0	0.0	2.0
345362	126.0	84.0	100.0	52.0
787709	5.0	0.0	1.0	2.0
960695	7890.0	4278.0	4720.0	6531.0
890882	12.0	3.0	4.0	5.0
377874	0.0	1.0	0.0	1.0
870751	1.0	2.0	0.0	2.0
1059655	1993.0	1035.0	1253.0	1839.0
28841	2.0	0.0	0.0	0.0
2072645	2.0	1.0	1.0	1.0
777667	111.0	67.0	90.0	92.0
4380971	7180.0	3918.0	4594.0	6984.0
139321	1397.0	914.0	914.0	809.0
1111294	1.0	1.0	0.0	1.0
939252	4.0	3.0	4.0	4.0
348680	17.0	5.0	8.0	9.0
584109	18.0	6.0	7.0	19.0
332718	2.0	0.0	0.0	1.0
295053	5101.0	2805.0	3637.0	2451.0
144452	35.0	11.0	10.0	7.0
1067519	103.0	46.0	69.0	69.0
4315958	7844.0	4704.0	5307.0	5976.0
113773	28.0	8.0	18.0	35.0
560336	3767.0	1984.0	2296.0	2773.0
187233	47.0	14.0	27.0	27.0
801700	3.0	0.0	0.0	0.0
3773438	12.0	5.0	6.0	11.0
1058950	2.0	1.0	0.0	1.0
3426658	36.0	15.0	15.0	31.0
4463224	5.0	0.0	3.0	9.0
3940440	1.0	1.0	0.0	1.0
1550056	1.0	0.0	1.0	0.0
894774	7.0	12.0	8.0	5.0
1135616	1.0	1.0	0.0	0.0
4348151	126.0	65.0	86.0	135.0
496787	181.0	107.0	139.0	58.0
592160	0.0	0.0	0.0	2.0
309133	15.0	2.0	11.0	8.0
2896107	12.0	3.0	3.0	4.0
292364	3.0	1.0	1.0	1.0
858026	1.0	2.0	0.0	2.0
4297222	166.0	102.0	121.0	103.0
2874742	127.0	51.0	63.0	37.0
4350499	15.0	12.0	9.0	5.0
1749079	5.0	3.0	2.0	5.0
1121111	2.0	1.0	2.0	2.0
335967	21.0	12.0	17.0	15.0
356733	2.0	2.0	1.0	5.0
3600504	7.0	15.0	7.0	7.0
182764	2.0	0.0	0.0	1.0
1843701	31.0	16.0	13.0	17.0
