# Constructed from biom file
#OTU ID	Run1a	Run2b	Run3c	Run4
Otu3	6914.0	4340.0	4728.0	5055.0
Otu6	5365.0	3095.0	3485.0	4092.0
Otu8	4324.0	2908.0	3585.0	3037.0
Otu21	1075.0	821.0	944.0	894.0
Otu13	2337.0	1341.0	1620.0	2172.0
Otu5	6691.0	3685.0	4460.0	3806.0
Otu18	2040.0	1055.0	1237.0	1770.0
Otu7	4810.0	2686.0	2786.0	3634.0
Otu10	4057.0	2326.0	2880.0	1946.0
Otu2	8516.0	4707.0	5168.0	6511.0
Otu14	2044.0	1353.0	1725.0	1851.0
Otu12	3032.0	1758.0	1824.0	2681.0
Otu19	1390.0	696.0	743.0	1053.0
Otu4	5911.0	3277.0	3873.0	5524.0
Otu24	1015.0	661.0	726.0	689.0
Otu1	7421.0	4560.0	5302.0	5541.0
Otu16	2404.0	1372.0	1455.0	1706.0
Otu11	3335.0	1779.0	1988.0	2425.0
Otu20	1207.0	705.0	803.0	957.0
Otu9	3908.0	2646.0	2668.0	2951.0
Otu15	2541.0	1417.0	1774.0	2129.0
Otu27	140.0	51.0	98.0	97.0
Otu17	1977.0	1302.0	1437.0	1515.0
Otu26	265.0	159.0	179.0	182.0
Otu28	210.0	129.0	109.0	157.0
Otu22	895.0	594.0	577.0	427.0
Otu23	216.0	152.0	191.0	140.0
Otu25	47.0	28.0	39.0	46.0
