# Constructed from biom file
#OTU ID	Run1a	Run2b	Run3c	Run4
Otu3	9055.0	5342.0	6026.0	6819.0
Otu2	10614.0	5608.0	6172.0	8521.0
Otu14	2964.0	1606.0	1983.0	2768.0
Otu19	1530.0	1090.0	1255.0	1368.0
Otu18	2309.0	1162.0	1392.0	2047.0
Otu6	6904.0	3804.0	4321.0	5459.0
Otu10	5817.0	3159.0	4080.0	2867.0
Otu11	3964.0	2084.0	2394.0	2901.0
Otu5	8439.0	4490.0	5591.0	5201.0
Otu9	5292.0	3346.0	4227.0	3809.0
Otu7	5816.0	3170.0	3340.0	4454.0
Otu16	2482.0	1593.0	2036.0	2267.0
Otu20	1672.0	816.0	912.0	1319.0
Otu4	7557.0	4065.0	4790.0	7315.0
Otu12	3851.0	2149.0	2285.0	3574.0
Otu1	9162.0	5401.0	6411.0	6982.0
Otu24	1284.0	774.0	897.0	897.0
Otu21	1408.0	823.0	956.0	1178.0
Otu13	3548.0	1905.0	2040.0	2642.0
Otu26	181.0	64.0	114.0	139.0
Otu8	4996.0	3189.0	3324.0	3750.0
Otu15	3353.0	1789.0	2248.0	2995.0
Otu28	333.0	176.0	212.0	217.0
Otu32	282.0	126.0	188.0	170.0
Otu33	741.0	453.0	506.0	629.0
Otu17	2630.0	1650.0	1848.0	2012.0
Otu25	40.0	28.0	42.0	31.0
Otu35	331.0	214.0	243.0	222.0
Otu34	431.0	230.0	273.0	381.0
Otu27	256.0	150.0	144.0	193.0
Otu22	1225.0	780.0	739.0	640.0
Otu31	987.0	530.0	685.0	760.0
Otu23	312.0	216.0	243.0	217.0
Otu29	256.0	109.0	149.0	206.0
Otu30	46.0	28.0	40.0	30.0
Otu36	19.0	11.0	16.0	14.0
