# Constructed from biom file
#OTU ID	Run1a	Run2b	Run3c	Run4
Otu3	8953.0	5367.0	6062.0	6731.0
Otu1	8885.0	5294.0	6279.0	6784.0
Otu21	1383.0	816.0	925.0	1140.0
Otu6	6688.0	3701.0	4232.0	5283.0
Otu2	10319.0	5509.0	6060.0	8230.0
Otu20	1461.0	1053.0	1209.0	1278.0
Otu9	5168.0	3305.0	4179.0	3716.0
Otu14	2886.0	1567.0	1955.0	2700.0
Otu18	2246.0	1146.0	1357.0	1986.0
Otu10	5559.0	3029.0	3927.0	2730.0
Otu5	8138.0	4369.0	5462.0	4978.0
Otu12	3751.0	2095.0	2232.0	3455.0
Otu19	1627.0	793.0	896.0	1287.0
Otu11	3879.0	2036.0	2350.0	2853.0
Otu16	2409.0	1556.0	1993.0	2220.0
Otu4	7312.0	3984.0	4691.0	7088.0
Otu7	5677.0	3111.0	3262.0	4346.0
Otu13	3389.0	1835.0	1974.0	2511.0
Otu24	174.0	62.0	113.0	133.0
Otu8	4827.0	3106.0	3252.0	3640.0
Otu15	3262.0	1748.0	2206.0	2874.0
Otu31	561.0	298.0	387.0	348.0
Otu28	328.0	174.0	209.0	212.0
Otu30	727.0	444.0	499.0	616.0
Otu17	2527.0	1596.0	1790.0	1913.0
Otu26	38.0	28.0	40.0	29.0
Otu32	413.0	225.0	267.0	364.0
Otu25	251.0	149.0	140.0	188.0
Otu22	1185.0	761.0	728.0	621.0
Otu34	968.0	521.0	673.0	733.0
Otu23	305.0	210.0	242.0	204.0
Otu27	250.0	107.0	147.0	202.0
Otu29	46.0	28.0	38.0	29.0
Otu33	19.0	10.0	16.0	14.0
