# Constructed from biom file
#OTU ID	Extreme
seq_1	676424.0
seq_2	407728.0
seq_3	74252.0
seq_4	66762.0
seq_5	65274.0
seq_6	60931.0
seq_7	30493.0
seq_8	27863.0
seq_9	7438.0
seq_10	6734.0
seq_11	6365.0
seq_12	5297.0
seq_13	4655.0
seq_14	680.0
seq_15	667.0
seq_16	603.0
seq_17	573.0
seq_18	446.0
seq_19	434.0
seq_20	420.0
seq_21	228.0
seq_22	217.0
seq_23	211.0
seq_24	186.0
seq_25	98.0
seq_26	84.0
seq_27	78.0
seq_28	72.0
seq_29	70.0
seq_30	69.0
seq_31	64.0
seq_32	56.0
seq_33	52.0
seq_34	44.0
seq_35	43.0
seq_36	36.0
seq_37	35.0
seq_38	28.0
seq_39	27.0
seq_40	24.0
seq_41	22.0
seq_42	21.0
seq_43	21.0
seq_44	21.0
seq_45	20.0
seq_46	19.0
seq_47	19.0
seq_48	18.0
seq_49	18.0
seq_50	18.0
seq_51	16.0
seq_52	16.0
seq_53	16.0
seq_54	15.0
seq_55	15.0
seq_56	15.0
seq_57	14.0
seq_58	14.0
seq_59	13.0
seq_60	13.0
seq_61	12.0
seq_62	11.0
seq_63	10.0
seq_64	10.0
seq_65	9.0
seq_66	8.0
seq_67	8.0
seq_68	8.0
seq_69	8.0
seq_70	8.0
seq_71	8.0
seq_72	7.0
seq_73	7.0
seq_74	6.0
seq_75	5.0
seq_76	5.0
seq_77	5.0
seq_78	4.0
seq_79	4.0
seq_80	4.0
seq_81	3.0
seq_82	2.0
seq_83	2.0
seq_84	2.0
seq_85	2.0
