# Constructed from biom file
#OTU ID	Extreme
seq_1	904550.0
seq_2	536946.0
seq_3	103251.0
seq_4	87646.0
seq_5	87071.0
seq_6	73922.0
seq_7	44736.0
seq_8	39249.0
seq_9	10127.0
seq_10	9080.0
seq_11	8707.0
seq_12	6948.0
seq_13	5745.0
seq_14	2146.0
seq_15	1366.0
seq_16	865.0
seq_17	807.0
seq_18	777.0
seq_19	752.0
seq_20	745.0
seq_21	681.0
seq_22	590.0
seq_23	407.0
seq_24	357.0
seq_25	245.0
seq_26	187.0
seq_27	183.0
seq_28	176.0
seq_29	158.0
seq_30	143.0
seq_31	139.0
seq_32	101.0
seq_33	93.0
seq_34	89.0
seq_35	88.0
seq_36	85.0
seq_37	83.0
seq_38	71.0
seq_39	71.0
seq_40	71.0
seq_41	64.0
seq_42	57.0
seq_43	57.0
seq_44	47.0
seq_45	43.0
seq_46	40.0
seq_47	36.0
seq_48	35.0
seq_49	34.0
seq_50	33.0
seq_51	32.0
seq_52	31.0
seq_53	30.0
seq_54	28.0
seq_55	25.0
seq_56	25.0
seq_57	25.0
seq_58	24.0
seq_59	22.0
seq_60	21.0
seq_61	21.0
seq_62	18.0
seq_63	17.0
seq_64	16.0
seq_65	16.0
seq_66	16.0
seq_67	14.0
seq_68	14.0
seq_69	14.0
seq_70	14.0
seq_71	13.0
seq_72	13.0
seq_73	10.0
seq_74	9.0
seq_75	9.0
seq_76	8.0
seq_77	8.0
seq_78	8.0
seq_79	7.0
seq_80	7.0
seq_81	7.0
seq_82	6.0
seq_83	5.0
seq_84	5.0
seq_85	4.0
seq_86	3.0
seq_87	2.0
