# Constructed from biom file
#OTU ID	Extreme
seq_1	843081.0
seq_2	504846.0
seq_3	94259.0
seq_4	82336.0
seq_5	81520.0
seq_6	71730.0
seq_7	40607.0
seq_8	36185.0
seq_9	9340.0
seq_10	8771.0
seq_11	8109.0
seq_12	6442.0
seq_13	5504.0
seq_14	1380.0
seq_15	811.0
seq_16	811.0
seq_17	732.0
seq_18	728.0
seq_19	663.0
seq_20	548.0
seq_21	469.0
seq_22	434.0
seq_23	335.0
seq_24	183.0
seq_25	167.0
seq_26	163.0
seq_27	145.0
seq_28	142.0
seq_29	132.0
seq_30	95.0
seq_31	92.0
seq_32	88.0
seq_33	83.0
seq_34	82.0
seq_35	80.0
seq_36	68.0
seq_37	65.0
seq_38	55.0
seq_39	51.0
seq_40	50.0
seq_41	45.0
seq_42	42.0
seq_43	40.0
seq_44	36.0
seq_45	35.0
seq_46	33.0
seq_47	32.0
seq_48	32.0
seq_49	30.0
seq_50	30.0
seq_51	26.0
seq_52	24.0
seq_53	24.0
seq_54	23.0
seq_55	23.0
seq_56	23.0
seq_57	22.0
seq_58	22.0
seq_59	21.0
seq_60	19.0
seq_61	17.0
seq_62	17.0
seq_63	15.0
seq_64	15.0
seq_65	15.0
seq_66	14.0
seq_67	13.0
seq_68	11.0
seq_69	10.0
seq_70	10.0
seq_71	10.0
seq_72	9.0
seq_73	9.0
seq_74	9.0
seq_75	8.0
seq_76	8.0
seq_77	7.0
seq_78	7.0
seq_79	7.0
seq_80	6.0
seq_81	6.0
seq_82	5.0
seq_83	5.0
seq_84	4.0
seq_85	4.0
seq_86	3.0
seq_87	2.0
