# Constructed from biom file
#OTU ID	Mock1	Mock2	Mock3
seq_1	4654.0	4730.0	2570.0
seq_2	3062.0	3022.0	1846.0
seq_3	2977.0	2622.0	2027.0
seq_4	2428.0	2678.0	1168.0
seq_5	2087.0	2363.0	915.0
seq_6	2090.0	1924.0	990.0
seq_7	1915.0	1946.0	720.0
seq_8	1829.0	1689.0	873.0
seq_9	1469.0	1787.0	709.0
seq_10	1280.0	1364.0	744.0
seq_11	664.0	647.0	312.0
seq_12	477.0	528.0	290.0
seq_13	468.0	508.0	171.0
seq_14	419.0	337.0	163.0
seq_15	341.0	357.0	169.0
seq_16	173.0	169.0	54.0
seq_17	80.0	78.0	41.0
seq_18	16.0	8.0	7.0
seq_19	0.0	30.0	0.0
seq_20	6.0	5.0	4.0
seq_21	7.0	5.0	0.0
seq_22	7.0	0.0	0.0
seq_23	0.0	0.0	6.0
seq_24	0.0	0.0	6.0
seq_25	0.0	5.0	0.0
seq_26	0.0	0.0	5.0
seq_27	3.0	0.0	0.0
seq_28	0.0	3.0	0.0
