# Constructed from biom file
#OTU ID	Mock1	Mock2	Mock3
seq_1	4695.0	4756.0	2586.0
seq_2	3111.0	3061.0	1874.0
seq_3	3001.0	2643.0	2036.0
seq_4	2458.0	2705.0	1176.0
seq_5	2110.0	2387.0	921.0
seq_6	2112.0	1939.0	1000.0
seq_7	1928.0	1959.0	725.0
seq_8	1836.0	1697.0	877.0
seq_9	1482.0	1797.0	713.0
seq_10	1289.0	1378.0	749.0
seq_11	669.0	652.0	312.0
seq_12	486.0	536.0	293.0
seq_13	473.0	513.0	174.0
seq_14	424.0	341.0	164.0
seq_15	344.0	360.0	169.0
seq_16	173.0	169.0	54.0
seq_17	85.0	79.0	41.0
seq_18	22.0	15.0	12.0
seq_19	0.0	30.0	0.0
seq_20	10.0	8.0	0.0
seq_21	16.0	0.0	0.0
seq_22	7.0	5.0	4.0
seq_23	0.0	7.0	0.0
seq_24	0.0	0.0	7.0
seq_25	0.0	0.0	7.0
seq_26	0.0	6.0	0.0
seq_27	0.0	5.0	0.0
seq_28	0.0	0.0	5.0
seq_29	3.0	0.0	0.0
