# Constructed from biom file
#OTU ID	Mock1	Mock2	Mock3
8ee52115c60344f1a03271f41fa8511b	4564.0	4616.0	2529.0
000dd5b095bf66285d87e68ed448e938	2951.0	2906.0	1784.0
21a55322acf2e117e2b4722f8af30674	2735.0	2385.0	1861.0
264d557d4cff58fbbab03bf4818b5727	2043.0	1883.0	966.0
8823b834eecd2ef6f381a5656db622f7	2004.0	2285.0	886.0
735be98f1d58b3266acb6d69871455c8	1875.0	1895.0	706.0
9f33d38406b4f45f5764eb824f49bdbe	1796.0	1645.0	848.0
808e121443453c19a2272dc44911e757	1773.0	1940.0	841.0
730b4be1ab117ed496ba52436d837a21	1310.0	1373.0	653.0
02e2dea0b93ba9e3fac7b9c453533046	1025.0	1305.0	507.0
52d9a3eb8c177d07557b3329ebd1aa8a	890.0	942.0	531.0
f7f4482efce0c5b7bb3542aed9b67337	428.0	470.0	155.0
2811c9ee45ab73514b348352551bac85	424.0	472.0	260.0
9e468a6c04f5cf480cf1d183b4653f49	414.0	393.0	184.0
8af712210726b8194bbba1d96bdf3e5d	405.0	325.0	161.0
58e5f8f17fd06f40b7e787a4cc08492a	341.0	324.0	208.0
b16af5c5437a680db4138b09b3e196c3	168.0	201.0	86.0
20da0a37bce5150db98ef62b925120b2	166.0	157.0	53.0
c7e2cfa58e60442ba164974a41500639	160.0	148.0	76.0
28713eedbd703320fddc99fe8f1c6fb2	137.0	151.0	82.0
74df35b0f980a2742748a745ecd7307c	69.0	65.0	47.0
1fafafcbd636513f9e3a10aa3386886e	58.0	56.0	29.0
666f0cbdb164d3ef4f9ba10c5efa4ddc	44.0	24.0	0.0
d617e99a0af5ef899c5bb0b2397c6f2d	25.0	0.0	0.0
b868d3fb0d5af642464532c6b399821a	6.0	15.0	8.0
4196aa73df4afd7a24161de6cabccda5	6.0	5.0	4.0
8e665d06a506c2f68f6000dc1ea73b65	0.0	28.0	3.0
