# Constructed from biom file
#OTU ID	Mock1	Mock2	Mock3
8ee52115c60344f1a03271f41fa8511b	4573.0	4624.0	2537.0
000dd5b095bf66285d87e68ed448e938	2978.0	2920.0	1799.0
21a55322acf2e117e2b4722f8af30674	2742.0	2394.0	1865.0
264d557d4cff58fbbab03bf4818b5727	2049.0	1890.0	971.0
8823b834eecd2ef6f381a5656db622f7	2013.0	2295.0	888.0
735be98f1d58b3266acb6d69871455c8	1880.0	1902.0	709.0
9f33d38406b4f45f5764eb824f49bdbe	1798.0	1648.0	849.0
808e121443453c19a2272dc44911e757	1784.0	1946.0	845.0
730b4be1ab117ed496ba52436d837a21	1312.0	1375.0	654.0
02e2dea0b93ba9e3fac7b9c453533046	1028.0	1309.0	508.0
52d9a3eb8c177d07557b3329ebd1aa8a	892.0	943.0	533.0
f7f4482efce0c5b7bb3542aed9b67337	429.0	471.0	156.0
2811c9ee45ab73514b348352551bac85	428.0	479.0	262.0
9e468a6c04f5cf480cf1d183b4653f49	414.0	393.0	184.0
8af712210726b8194bbba1d96bdf3e5d	406.0	325.0	162.0
58e5f8f17fd06f40b7e787a4cc08492a	344.0	327.0	208.0
b16af5c5437a680db4138b09b3e196c3	169.0	202.0	86.0
20da0a37bce5150db98ef62b925120b2	166.0	157.0	53.0
c7e2cfa58e60442ba164974a41500639	162.0	148.0	76.0
28713eedbd703320fddc99fe8f1c6fb2	136.0	151.0	83.0
74df35b0f980a2742748a745ecd7307c	69.0	67.0	47.0
1fafafcbd636513f9e3a10aa3386886e	62.0	57.0	29.0
666f0cbdb164d3ef4f9ba10c5efa4ddc	44.0	24.0	2.0
d617e99a0af5ef899c5bb0b2397c6f2d	24.0	0.0	0.0
b868d3fb0d5af642464532c6b399821a	7.0	15.0	8.0
4196aa73df4afd7a24161de6cabccda5	6.0	5.0	4.0
8e665d06a506c2f68f6000dc1ea73b65	0.0	27.0	3.0
