# Constructed from biom file
#OTU ID	Mock1	Mock2	Mock3
SH004323.07FU_KC525751_reps_singleton	9.0	4.0	3.0
SH010377.07FU_AB054023_refs	54.0	51.0	22.0
SH005515.07FU_KJ890411_reps	0.0	2.0	1.0
SH031273.07FU_EU754924_reps_singleton	2.0	1.0	0.0
SH004311.07FU_JQ668733_reps	14.0	10.0	2.0
SH488060.07FU_KU212147_reps_singleton	3100.0	3079.0	1869.0
SH013731.07FU_AY344479_reps_singleton	2.0	1.0	0.0
SH026620.07FU_FM178354_refs	2026.0	2312.0	895.0
SH004310.07FU_JX132461_reps	1.0	0.0	1.0
SH027481.07FU_LN849118_reps	472.0	511.0	174.0
SH012109.07FU_EF495097_reps	4.0	3.0	0.0
SH024244.07FU_HQ897814_reps	216.0	218.0	151.0
SH018703.07FU_AY046213_refs	9.0	12.0	1.0
SH013609.07FU_LM652379_refs	2.0	2.0	0.0
SH011095.07FU_DQ249199_refs	476.0	532.0	287.0
SH630105.07FU_KF164425_reps_singleton	2.0	2.0	6.0
SH496727.07FU_LM652460_reps_singleton	2.0	3.0	0.0
SH020067.07FU_EU714323_refs	9.0	16.0	8.0
SH005037.07FU_FR819718_refs	1.0	1.0	1.0
SH002010.07FU_GU246267_refs	4622.0	4681.0	2561.0
SH488525.07FU_KT150269_reps_singleton	2100.0	1932.0	999.0
SH455880.07FU_EU754935_reps_singleton	2759.0	2407.0	1879.0
SH007906.07FU_EF652511_refs	6.0	5.0	4.0
61240bf230bb67ecb7d60565a383060ab5fc7699	3.0	0.0	1.0
d1a43272f28ea9afedf46ded6032351a962910f1	87.0	79.0	41.0
97f698dab0e24ab1a7bc629c921c282c498f4b61	83.0	90.0	41.0
40fb7a6c19281826bad2f3b3f8f994d30eacc4e0	1.0	1.0	2.0
d8479626ceec514420617b072f110429a875fb24	60.0	48.0	30.0
7785a9705ba4082b27b71b5c036c71f406fdd26f	1.0	1.0	0.0
7481c883eecd58fb42285755d20365d4ee7b5598	1.0	1.0	0.0
2f8dd4ddd5ea924169cfcca01895fd51ab0f7372	0.0	1.0	1.0
2db98c29a4819276cafdbc6838a97a5bec4f59b9	2.0	1.0	0.0
82cf3e76d667d2c8b55fa16d58a1435b07457518	3.0	4.0	2.0
1fb18bf6a7a1782caad2e7b319ba0a76fa6a3539	0.0	1.0	1.0
2cd0d0fc364a8ca5ee4e67df86bd803192692c5a	560.0	569.0	319.0
abb947a1b64eee0795f38cf69911050d1efcd759	5.0	3.0	2.0
5dfba24f214bb6da643d87ef063ef31ead06163e	2426.0	2664.0	1157.0
379a0b6e8f36e7df2351a23c803ae59de5027433	2.0	1.0	0.0
bb671ba16206aaad59f614eee99cda9e2f53a5d2	1919.0	1946.0	724.0
6bcebb643c1121b40b75d315b5a81dbc940f6c78	0.0	1.0	1.0
e7b39e9363a9c89fa707f4c786017fd9ab1e9ed8	36.0	43.0	12.0
2ef2124fb02003ab60d106cec0b91d1bb58bc89c	0.0	2.0	0.0
65d253d8485ee497b60d86b8053444260ec53e99	845.0	861.0	419.0
dc0f0d0ef30af58d302159d805add8ce8453511f	2.0	1.0	0.0
f3bb41071610415a9997ec37dcab98c6681a030b	4.0	3.0	3.0
4ab7fef9e75b31de5f7077ab7eaaf09addb7b193	1.0	1.0	1.0
6fcfb95fa9f6f4370ba902915db4fc11d853a8b6	0.0	1.0	1.0
1e70ed6461c5bdb3808e79f548a84539ac590181	1.0	1.0	0.0
30580730466a8bb537ec22fbcde69b410cbb4504	1.0	3.0	1.0
714c2a5d3451d256164263bc649132ab1e20bf97	0.0	1.0	1.0
604458af527a4f61e79ee425684d3990fbe5eef1	2.0	0.0	0.0
11c17273676dd029f6115b4d3bb66d0f34f74a2e	1.0	0.0	1.0
7805a251722ecf5a88f6dd28329b03963f59faf8	0.0	1.0	1.0
8f0d8bc8f515ffe9f36a27b5beecc41ad05437b1	1.0	2.0	0.0
be4492707184f80a934dd05ee83fc9906264f5aa	2.0	0.0	0.0
15935325fc6e924cdf781636725bc021812fdd5c	1.0	0.0	1.0
fafcdeae2f3357c46aa2ef2e4f5ac75314be6060	1827.0	1680.0	869.0
09e4325a432aa467fc7ec83a2111d374eaf70d4f	0.0	3.0	0.0
7c0131a210c05a909361e0a4df488e8b7c3dd23c	2.0	0.0	0.0
2305f7c43e06a5d72ffb82e2a45d519574d1902d	1.0	1.0	0.0
02aacca02065e8e5f08725a7b36f864cb7120ebf	0.0	3.0	1.0
0f73ebb9e09d2640b8b82402ab139714d1e45f68	2.0	2.0	1.0
18598df004243dba21e357eadf40b8605ec9c9ab	2.0	2.0	0.0
981622fd1b920ecc401bc8ee960f66a269a8b0ab	9.0	2.0	5.0
c5578d571869a2b02cd82e36d97473d9abf472b9	1310.0	1381.0	758.0
2e71e0379bc5bb6ea4436e19b10375f07de61f6b	4.0	3.0	4.0
163b9542ffa40a49ed3ae301189672d58b03a624	0.0	1.0	1.0
defad462f12e65e6415b61b7cc542135e31e861b	1.0	0.0	1.0
f3704e27c89e8af1600a988e33fd4e16b10870a3	2.0	1.0	0.0
713e7df53ef665d4b5d0cea0f37b916aff40f52a	0.0	2.0	0.0
68e7d35bcbb2844b6769560684a63b903cb883ad	5.0	3.0	5.0
580e8636d501e4ca4493a071c018a59ee538b546	2.0	4.0	0.0
29f47950499ba11cee79ff12c33917c72eae5cca	1.0	1.0	1.0
58365e0c594765297430de2465134b3e2aadc42f	1.0	1.0	1.0
6859d1b90b6d5769277314ac390019188580cac1	0.0	2.0	0.0
354daf9d2fe590cda4b39c7d6c87fee860763fb3	0.0	2.0	0.0
0f281f33582fedbd5ef54df6cddb75d4ad0cebe4	1.0	1.0	1.0
10a0f58840ab08eea57d046e824771fa500088c9	173.0	169.0	54.0
96ede943887f921746587c6c337124301d33a6d2	2.0	1.0	0.0
c51bc4e76d1fc1fe237ef4d7a3f8ad0d32200ab3	42.0	49.0	20.0
52b7b3874dd33164275ac31323940252bb72daaf	1.0	1.0	0.0
cdda2a11c17c4d0c233effc78878154442688e04	3255.0	3552.0	1565.0
b0caa8e016b95dd37498070b1970adfb32f5755f	9.0	5.0	2.0
999c70fad3a6b78d59bccc11c7c7230bd8eaf701	0.0	2.0	0.0
7b728e06753f431f2df871eec52899f09ea7867d	419.0	336.0	164.0
bf86b6304aee8c336e372cab8156b3c858d6c2de	0.0	2.0	0.0
53167676cf21866deab0ded3db9a2a661389b473	2.0	0.0	1.0
4a6db1a2a79776db5ef3c0a80b52c22c9c98f8c6	3.0	3.0	2.0
4048b02ac77faaeb298ed5a83d6b50bd5197a5f7	21.0	11.0	9.0
af88b640b2adec2881be552a8b81cad6d65800e6	2.0	4.0	0.0
a881c02385cf5f1a381483da5b0204911728b6de	0.0	3.0	0.0
6ffa83a2d2ef190dd7df06fa7eae22c0790d3b54	0.0	1.0	2.0
