# Constructed from biom file
#OTU ID	Mock1	Mock2	Mock3
Otu11	1087.0	1138.0	620.0
Otu10	1230.0	1546.0	602.0
Otu32	82.0	64.0	45.0
Otu3	2968.0	2615.0	2028.0
Otu1	4635.0	4714.0	2561.0
Otu6	1980.0	2160.0	931.0
Otu16	407.0	476.0	206.0
Otu15	466.0	441.0	271.0
Otu7	1915.0	1946.0	720.0
Otu9	1588.0	1618.0	766.0
Otu8	1829.0	1689.0	872.0
Otu5	2089.0	1924.0	990.0
Otu4	2087.0	2363.0	914.0
Otu20	238.0	230.0	97.0
Otu22	183.0	186.0	75.0
Otu2	3061.0	3049.0	1846.0
Otu17	418.0	337.0	163.0
Otu12	476.0	528.0	290.0
Otu13	523.0	507.0	238.0
Otu14	468.0	509.0	171.0
Otu30	39.0	50.0	23.0
Otu25	73.0	103.0	42.0
Otu21	182.0	189.0	110.0
Otu29	46.0	55.0	32.0
Otu19	238.0	259.0	138.0
Otu24	84.0	95.0	46.0
Otu18	285.0	298.0	140.0
Otu23	173.0	169.0	54.0
Otu27	69.0	67.0	30.0
Otu31	42.0	44.0	18.0
Otu28	51.0	54.0	28.0
Otu37	16.0	7.0	6.0
Otu26	80.0	78.0	41.0
Otu35	17.0	9.0	5.0
Otu38	6.0	5.0	4.0
Otu34	18.0	22.0	6.0
Otu33	22.0	27.0	12.0
Otu36	8.0	10.0	4.0
