# Constructed from biom file
#OTU ID	Mock1	Mock2	Mock3
Otu11	1093.0	1146.0	623.0
Otu3	2989.0	2635.0	2036.0
Otu10	1239.0	1556.0	606.0
Otu6	2004.0	2173.0	938.0
Otu16	409.0	487.0	207.0
Otu32	87.0	64.0	45.0
Otu15	470.0	445.0	271.0
Otu1	4659.0	4733.0	2575.0
Otu7	1928.0	1958.0	725.0
Otu5	2106.0	1939.0	1000.0
Otu8	1836.0	1696.0	876.0
Otu9	1593.0	1625.0	770.0
Otu4	2107.0	2384.0	919.0
Otu20	238.0	231.0	99.0
Otu22	183.0	187.0	75.0
Otu2	3108.0	3087.0	1873.0
Otu17	423.0	341.0	164.0
Otu12	485.0	536.0	293.0
Otu13	527.0	509.0	238.0
Otu14	472.0	514.0	174.0
Otu30	39.0	51.0	23.0
Otu25	73.0	103.0	42.0
Otu21	183.0	191.0	111.0
Otu29	47.0	57.0	33.0
Otu19	238.0	261.0	139.0
Otu24	85.0	96.0	46.0
Otu18	288.0	300.0	140.0
Otu23	173.0	169.0	54.0
Otu27	69.0	68.0	31.0
Otu31	42.0	44.0	18.0
Otu28	51.0	54.0	28.0
Otu36	21.0	11.0	9.0
Otu35	17.0	9.0	5.0
Otu26	85.0	79.0	41.0
Otu38	7.0	5.0	4.0
Otu34	19.0	23.0	6.0
Otu33	22.0	27.0	12.0
Otu37	8.0	10.0	4.0
