# Constructed from biom file
#OTU ID	ZymoPC1	ZymoPC3	ZymoPC2
185d65e3be76ccaf4ac215dad698e3b8	21969.0	27618.0	21761.0
c53b7b86b0ef6e27a116b63c88d3a3c2	9615.0	10935.0	9172.0
b7af1f583d04a5696d6c515f8080e424	9088.0	9559.0	8107.0
25c51dede34f2dcd2c63b0963f1ba194	5501.0	6475.0	4928.0
610075f9f1b0370f492523743949c53f	3132.0	2553.0	2745.0
d7af5382db7320afc85bc3bf909b69fc	2100.0	2602.0	2270.0
be059b2c0181adf0d85de751784277e9	1320.0	1536.0	1267.0
c06035f93d1c6658c7c231af262a0f4f	911.0	1168.0	992.0
edd13f23fe5057cb2c1041606fd5b22f	14.0	18.0	0.0
a4cbf347347ac853b25d2e4db457b522	10.0	11.0	4.0
22c96bc33e02e0156ad597b1eb59ff92	10.0	0.0	9.0
b261df3694d95e698a97742f19d033a3	10.0	8.0	5.0
d6d22bb645de758f1d7b442aa3332467	9.0	1.0	2.0
b2bca07ffd2b65dd9b030cb1eb713799	7.0	3.0	4.0
776f534d1331d26b2c0b1353e71fc4c0	7.0	5.0	0.0
c96f13736a4e7fb11b938938ba962882	6.0	4.0	2.0
e18ad435fcec40564f92559ca90fc173	5.0	4.0	6.0
6cd9a83f8ad6f7ed8af86d3d6ea93316	5.0	16.0	4.0
9ec59eb06c5ecf561387c8400d4f8dd9	5.0	4.0	2.0
7082b44e4a33c35922e440b6451551d5	5.0	7.0	0.0
b76ab63e78ece968e05760efb434ec70	4.0	4.0	3.0
f1cfac7ea7ff91f5fa87e20d92322e36	4.0	3.0	6.0
2e01be6c8e745752914824eedd01e311	4.0	11.0	0.0
