# Constructed from biom file
#OTU ID	ZymoPC1	ZymoPC3	ZymoPC2
185d65e3be76ccaf4ac215dad698e3b8	20462.0	25796.0	20372.0
c53b7b86b0ef6e27a116b63c88d3a3c2	8018.0	9189.0	7558.0
b7af1f583d04a5696d6c515f8080e424	7818.0	8307.0	7038.0
25c51dede34f2dcd2c63b0963f1ba194	4753.0	5722.0	4300.0
610075f9f1b0370f492523743949c53f	2634.0	2153.0	2322.0
d7af5382db7320afc85bc3bf909b69fc	1842.0	2301.0	2009.0
be059b2c0181adf0d85de751784277e9	1207.0	1374.0	1163.0
c06035f93d1c6658c7c231af262a0f4f	817.0	1060.0	916.0
edd13f23fe5057cb2c1041606fd5b22f	13.0	16.0	0.0
a4cbf347347ac853b25d2e4db457b522	10.0	10.0	5.0
22c96bc33e02e0156ad597b1eb59ff92	9.0	3.0	7.0
b261df3694d95e698a97742f19d033a3	9.0	8.0	4.0
776f534d1331d26b2c0b1353e71fc4c0	7.0	4.0	0.0
b2bca07ffd2b65dd9b030cb1eb713799	6.0	4.0	0.0
6cd9a83f8ad6f7ed8af86d3d6ea93316	5.0	14.0	3.0
7082b44e4a33c35922e440b6451551d5	5.0	5.0	0.0
d5b545c0658ffa8eaffcbbfbce71902d	5.0	3.0	3.0
c96f13736a4e7fb11b938938ba962882	5.0	4.0	2.0
2e01be6c8e745752914824eedd01e311	4.0	10.0	0.0
f1cfac7ea7ff91f5fa87e20d92322e36	3.0	2.0	6.0
54d54c7b9f20a41b3a09eefd3f8b9297	0.0	6.0	4.0
