# Constructed from biom file
#OTU ID	ZymoPC1	ZymoPC2	ZymoPC3
162335	14.0	7.0	9.0
14583	2.0	0.0	1.0
29253	9.0	7.0	13.0
164915	134.0	112.0	137.0
797229	6.0	4.0	9.0
15257	0.0	2.0	3.0
776980	52.0	36.0	41.0
305982	1.0	2.0	2.0
1040220	3.0	2.0	8.0
1129461	12.0	4.0	9.0
608929	0.0	2.0	0.0
275845	198.0	200.0	250.0
281015	55.0	39.0	57.0
276632	40.0	34.0	41.0
782953	205.0	168.0	237.0
544334	2.0	0.0	0.0
268101	6.0	5.0	11.0
584241	7.0	4.0	6.0
227083	0.0	0.0	2.0
4385535	19.0	14.0	20.0
4384058	13297.0	11765.0	14194.0
1111294	2.0	1.0	0.0
1102921	0.0	1.0	1.0
348680	19.0	14.0	20.0
114462	28.0	14.0	30.0
667570	91.0	58.0	88.0
4425571	20.0	19.0	26.0
345362	277.0	231.0	244.0
574051	9.0	3.0	15.0
304641	4.0	3.0	3.0
1078248	0.0	2.0	1.0
295053	12817.0	11628.0	14260.0
236821	57.0	37.0	59.0
137056	21.0	18.0	19.0
225786	5.0	0.0	1.0
273830	5.0	0.0	3.0
139321	3747.0	3248.0	2964.0
4416988	2492.0	2632.0	3101.0
960695	1263.0	1310.0	1516.0
1135391	59.0	50.0	68.0
220012	33.0	36.0	27.0
918932	0.0	0.0	2.0
203579	18.0	8.0	9.0
4423027	7.0	2.0	9.0
28841	1.0	1.0	0.0
4345285	7.0	5.0	8.0
4336079	1.0	0.0	1.0
624911	1.0	2.0	1.0
886354	0.0	2.0	0.0
3799784	28.0	32.0	30.0
588216	65.0	51.0	59.0
533133	5.0	3.0	3.0
4477551	11.0	4.0	6.0
1086805	1.0	0.0	2.0
231787	76.0	58.0	68.0
113773	16.0	8.0	12.0
1084906	2.0	1.0	0.0
4446058	0.0	1.0	1.0
1123021	6.0	4.0	6.0
152859	0.0	0.0	2.0
574102	0.0	0.0	3.0
3908646	328.0	298.0	367.0
292364	1.0	1.0	2.0
1039477	1.0	2.0	4.0
465079	1.0	0.0	3.0
4315658	37.0	27.0	35.0
114510	7.0	7.0	5.0
1039016	6.0	3.0	8.0
141145	3.0	4.0	2.0
552376	1.0	1.0	1.0
496787	7.0	15.0	18.0
4290144	1.0	1.0	0.0
1135616	42.0	21.0	45.0
258785	3.0	1.0	0.0
404204	7.0	6.0	5.0
224643	3.0	0.0	1.0
544824	1.0	0.0	1.0
851811	1.0	0.0	3.0
928538	6.0	10.0	10.0
211593	1755.0	1372.0	1771.0
4225932	4.0	6.0	6.0
839152	8.0	4.0	9.0
4454531	133.0	82.0	98.0
1067519	42.0	29.0	39.0
141350	6.0	5.0	11.0
3531225	4.0	7.0	5.0
572750	38.0	35.0	34.0
4461722	2.0	1.0	1.0
4423422	6000.0	5410.0	7074.0
831834	1.0	0.0	1.0
107854	86.0	74.0	103.0
868615	9.0	6.0	9.0
219804	1.0	1.0	0.0
538000	1.0	1.0	1.0
176468	4.0	3.0	8.0
292289	2.0	2.0	1.0
221361	1.0	0.0	2.0
4354311	11.0	4.0	4.0
984924	2.0	0.0	0.0
331697	10.0	1.0	13.0
1084865	2.0	5.0	3.0
67813	13.0	10.0	10.0
503354	9.0	12.0	5.0
289709	3.0	2.0	5.0
2896107	2.0	0.0	2.0
819999	0.0	0.0	3.0
617833	1.0	0.0	1.0
1111582	1587.0	1494.0	1833.0
144452	50.0	42.0	45.0
681779	1.0	1.0	1.0
67806	25662.0	25388.0	31777.0
810399	20.0	7.0	20.0
4333020	29.0	28.0	21.0
2072645	9.0	5.0	6.0
528421	282.0	216.0	247.0
425721	2.0	0.0	1.0
305561	1.0	3.0	4.0
777667	60.0	69.0	60.0
217482	3.0	0.0	1.0
4318935	3.0	11.0	4.0
1090059	18.0	13.0	24.0
547304	1.0	1.0	4.0
230114	5.0	1.0	4.0
4362942	2.0	1.0	4.0
1105502	15.0	12.0	12.0
4454529	1.0	0.0	1.0
3498e999445860ce26cbe8f0b90f6a1a616ee9a4	3.0	2.0	2.0
5a2c5edff43438a56f0e8aa923af8c2c300e6f26	2.0	2.0	1.0
af6b4a91dd193399085fdca66aaf3d3170786d65	22.0	11.0	13.0
df1ce9f7fd74e80ffebd113a090f69d7d8ce8fbb	5.0	4.0	9.0
d9db0e2383e99ec1a208cb9846a6950b7f13aa1c	10.0	2.0	6.0
95e4fc79ddca46603ae590bfe6e9fc56361072f7	0.0	0.0	2.0
a78165c6f69fc64e4ca6d2fad327223fc0c267ac	1.0	0.0	1.0
6a50c4e6d758da50f0078faf35733d7ebde7cabe	7.0	4.0	3.0
8b59b228550eada4af1ab7ff329e12609d8dc7f5	3.0	5.0	3.0
6c0b15b3c25eec36c6c9711f9f3ad862d3dcc0f2	1.0	0.0	2.0
06bd2eab35c7ecf92617731173400e5e317e2aac	1.0	1.0	0.0
01a24e3d69ff71381e9e28c1c263f85a5691e9ca	3.0	1.0	3.0
6868fde9c608e73a853b5858889f44726e788863	2.0	1.0	0.0
48aba56c7116512abe94741adb13d2de7994e06c	3.0	2.0	4.0
6edcf17f3c6430556d2a050d43fa53c2ccf81681	2.0	3.0	2.0
00d8547262d23b1e91eae0c4c981638ba40c8560	1.0	4.0	1.0
5306f629d394083659812c62545132e7ac4fb12e	1.0	0.0	3.0
55f09fbc0e4299b475e37161eec7ef16381f2f44	1.0	0.0	2.0
2ad94097797b1c447c26515b02eb8ca3d72438c0	4.0	1.0	4.0
b617d3c936d20cbef8c47df36fe278f8a661696a	2.0	0.0	0.0
be86fafc9f461bc7db2c3671e9d44ad2c94e8975	2.0	0.0	0.0
1fd6e8f344d5e64b0d4356995be0a9a7fd064614	1.0	1.0	2.0
12e94160f6eda1f6dd765c41ee542373e67b453c	2.0	1.0	0.0
2af20a17c3019a450b9bac118747761d578803bc	2.0	0.0	0.0
0fe951cf7a64dbafdbdf56cbbe12b777f00aa474	0.0	2.0	4.0
7396899a603d4d8329fcf6ade65952c868cd8cf0	2.0	1.0	0.0
2d3e585ff5dd367502b275a798b2acad86410796	0.0	0.0	2.0
561b3fc7e21c83cd5d3739b3a638667d5dbdf257	5.0	1.0	0.0
276547ada2527c2a072771d19016e51d8f317af4	2.0	1.0	3.0
29f971d2c239112e761dcdbde3f9a12109969b31	1.0	0.0	2.0
9245b689222889e8f80175940f9bb645cf583b19	3.0	4.0	7.0
a8d389aeb787b4ca2635852ab8807d2fc5d846a2	5.0	1.0	2.0
ee59973c2672e75cc5d8593f16742ca674a0970d	0.0	2.0	1.0
0c69eeae21e1a02c2fa03a8977685e6805b39bb2	1.0	1.0	1.0
3bdade8f7a2c48b97624bbac77018b0288213c02	1.0	0.0	2.0
19bedff880ba5446bef7aa5f95976fc14bcfbbed	2.0	0.0	1.0
8fc0fcd62b07799e58be183cbc6c2f43586b501d	2.0	0.0	2.0
a9429c8ec5c9b684162ab380c1a54a06b7bf39a0	0.0	2.0	0.0
dc65979f6ddf2df8d7965d1e8648d055b53b4a70	0.0	1.0	1.0
129ae6d5ce8bb18ae03b53e11cea594ef94d4ef0	1.0	1.0	2.0
0ca6b5a44e08e6303b758061275df15b75540ef5	3.0	0.0	0.0
5804f10822b9ab03010f92d7097d75b2059de1f8	1.0	0.0	1.0
efca4478057a30aaa25605aa1a692012369727ba	4.0	2.0	4.0
569ed2313a1553906e3a03d0e0eaf2455b6bafc3	6.0	2.0	2.0
1691cf827ad090ae18f1bdb89d2ba243f5f80346	17.0	14.0	14.0
5aea59fdfb2fdd805daa79adb12fbe07c9e08f1c	2.0	1.0	0.0
a19d5ac8db47720ab0fd9dcb4c4ae83bba5dbe97	1.0	1.0	1.0
5e8c2e6616df877c0a0282ec2f8eddc9792226c5	1.0	0.0	2.0
1324e257ec7219e62692a8b4fe1bd3bd305875fe	2.0	1.0	2.0
172dacf6e074bd18d3165d7233a34073e8d9d095	2.0	0.0	1.0
2b9b05bacb888855e26c93e08bc8e5d11ce0b5b9	0.0	2.0	0.0
30b3ee866f84a2916f92060e7e3f3608fccb7c5d	2.0	3.0	2.0
28cc3377b7b94fc2d825f74ffe3d0c24119a4f46	1.0	1.0	4.0
3eeb95f4517eaccecc7ae12fa17d280b9734c242	1.0	0.0	2.0
776db59bf1927dac4989bd3b3a23e3506e1a62fb	1.0	0.0	1.0
227a4444f5dc1783e45cc424bb4dea0ea679bee5	4.0	2.0	3.0
3c4f2ad3d3b0b1de48dca112cb54d52a3342cc6b	1.0	1.0	2.0
457d5173db0876119b6dce819a90c7e56db38186	0.0	1.0	1.0
38bfa7f8213aa1631b3964becdaf4b626821823c	1.0	0.0	1.0
02990adbc44633c97d562f7972822b03d60a2b74	0.0	0.0	2.0
03de5f7343e8f4d1cd147ac612063165f7d54cac	5.0	1.0	2.0
252a6517b56297f0aa2dab6a6e758a4e2aff5660	0.0	1.0	1.0
3ff7d9f7b15a3cb2eaeda0873521ef1ddc095e86	1.0	1.0	1.0
9310e9923dcf12dd23451506aefe4e98cfa32296	0.0	2.0	0.0
1b803b7369f895112f39c8ec2358ef35a96b8d4e	6.0	3.0	4.0
2efbc884ff9b6c1ae6b5c548adbaf613f140e5af	1.0	0.0	1.0
13e6fc95ee567385e8b2ecd6fdfc2713ef9e711b	1.0	0.0	2.0
437dc2d1e111bda5213478e21d06786aab8932c4	0.0	2.0	1.0
d46d97a8c7f0cd8cd5e1ea3451b57838c6ee4cd4	0.0	2.0	0.0
28008f1a6dcd2d4030d8d09c6b02b4849abf2c80	2.0	0.0	0.0
9fcd9dbf534a3b1110cf9aa83fb02364f800e6d9	1.0	0.0	1.0
56ff3e6878f819c0fada509af9fe3371294ffcf4	1.0	2.0	6.0
46f9149a04ee34feb2f07908ef0dc30d1e46e80c	2.0	0.0	1.0
c976d74bd83060627df0ee4dfb546830758c4f89	20.0	6.0	6.0
1c4870ee83d9ded4125040636f9f4d235e5dec8c	7.0	5.0	4.0
7a28b11e528c67d6f38370ede3d913be0ec351ed	0.0	0.0	2.0
cb4f2b1492ea9b4267eba8c9a5f83b573479c004	0.0	2.0	2.0
2201fbf64c0ea771ad156b251e17db12ca1923e9	7.0	1.0	6.0
778f7ef4f6f3b7861d85ead8d02aba7a77542d57	3.0	0.0	1.0
6f9ca1d405bfda78129a2f6cb85d26a2153d1ce2	1.0	0.0	1.0
19a551d5f962ca9d9075d73af0f0e69350195533	1.0	0.0	1.0
7348e87ce66ad6ae44178d38b85b80b813c76a41	1.0	0.0	1.0
7992e265631776c8d3cc210c387117d0691f9840	25.0	27.0	22.0
9a6defa8ec0a9f471c4f65cce3b3e1a14a440bd2	2.0	0.0	0.0
afa867e2c2b12439e3aca5ecd1142be287320caa	1.0	1.0	0.0
65c87f49a03bf737a68ac8b93932405d3832bcd7	3.0	2.0	1.0
6cb63d8a328d80d229b9cca09d65cd4c3f95b1f0	0.0	2.0	1.0
93209d248d7e803f76f44bc2629df9401bce47ea	22.0	28.0	15.0
00dd6ea37b822582e9f6b639229268c777be3212	3.0	1.0	4.0
