# Constructed from biom file
#OTU ID	ZymoPC1	ZymoPC2	ZymoPC3
Otu1	12082.0	12147.0	15230.0
Otu4	1926.0	1620.0	2204.0
Otu2	2552.0	2238.0	2820.0
Otu8	527.0	538.0	697.0
Otu18	419.0	279.0	445.0
Otu3	2088.0	1804.0	2417.0
Otu6	920.0	786.0	730.0
Otu9	346.0	370.0	463.0
Otu27	60.0	48.0	81.0
Otu5	916.0	877.0	1101.0
Otu25	120.0	94.0	101.0
Otu20	199.0	171.0	264.0
Otu23	169.0	145.0	205.0
Otu16	138.0	117.0	174.0
Otu26	67.0	56.0	92.0
Otu11	249.0	201.0	299.0
Otu7	683.0	640.0	805.0
Otu14	265.0	253.0	299.0
Otu22	29.0	18.0	28.0
Otu13	158.0	131.0	179.0
Otu10	247.0	172.0	301.0
Otu15	100.0	77.0	104.0
Otu24	109.0	74.0	101.0
Otu19	110.0	92.0	113.0
Otu12	200.0	173.0	191.0
Otu17	63.0	70.0	75.0
Otu21	35.0	23.0	42.0
