# Constructed from biom file
#OTU ID	ZymoPC1	ZymoPC2	ZymoPC3
Otu3	11404.0	9907.0	12005.0
Otu4	7438.0	6584.0	8568.0
Otu1	27810.0	27434.0	34401.0
Otu10	1364.0	1019.0	1388.0
Otu2	12296.0	11301.0	13733.0
Otu13	1225.0	958.0	1258.0
Otu16	156.0	107.0	139.0
Otu29	280.0	200.0	284.0
Otu42	168.0	144.0	176.0
Otu31	262.0	174.0	239.0
Otu7	1731.0	1702.0	2071.0
Otu6	3265.0	3298.0	3873.0
Otu9	1559.0	1580.0	1880.0
Otu8	2047.0	1856.0	2331.0
Otu32	382.0	322.0	433.0
Otu5	4399.0	3725.0	3477.0
Otu23	360.0	322.0	401.0
Otu18	343.0	270.0	380.0
Otu25	264.0	215.0	288.0
Otu19	290.0	186.0	215.0
Otu14	258.0	212.0	296.0
Otu11	1312.0	966.0	1290.0
Otu44	164.0	119.0	177.0
Otu15	875.0	769.0	1014.0
Otu37	476.0	369.0	550.0
Otu12	864.0	733.0	887.0
Otu36	549.0	437.0	596.0
Otu27	527.0	370.0	585.0
Otu30	293.0	220.0	272.0
Otu17	212.0	176.0	192.0
Otu26	89.0	88.0	96.0
Otu40	113.0	102.0	134.0
Otu39	320.0	271.0	386.0
Otu33	91.0	55.0	89.0
Otu41	165.0	155.0	179.0
Otu24	190.0	150.0	209.0
Otu34	106.0	71.0	106.0
Otu20	195.0	147.0	159.0
Otu35	124.0	108.0	123.0
Otu43	115.0	90.0	93.0
Otu22	61.0	39.0	46.0
Otu21	135.0	95.0	155.0
Otu38	54.0	22.0	41.0
Otu28	15.0	9.0	18.0
