# Constructed from biom file
#OTU ID	ZymoPC1	ZymoPC2	ZymoPC3
Otu3	10342.0	9042.0	10915.0
Otu2	10965.0	10051.0	12241.0
Otu4	6560.0	5845.0	7646.0
Otu1	26355.0	26088.0	32677.0
Otu10	1209.0	921.0	1249.0
Otu17	133.0	98.0	118.0
Otu29	276.0	190.0	267.0
Otu39	161.0	147.0	169.0
Otu8	1564.0	1548.0	1870.0
Otu6	2942.0	3007.0	3540.0
Otu9	1445.0	1493.0	1737.0
Otu23	331.0	294.0	363.0
Otu18	324.0	263.0	364.0
Otu26	128.0	107.0	178.0
Otu5	3974.0	3385.0	3144.0
Otu7	2015.0	1840.0	2309.0
Otu11	1183.0	864.0	1188.0
Otu15	1005.0	860.0	1164.0
Otu35	446.0	346.0	511.0
Otu12	778.0	669.0	802.0
Otu13	1082.0	857.0	1136.0
Otu30	288.0	214.0	260.0
Otu41	767.0	597.0	908.0
Otu36	192.0	169.0	208.0
Otu28	237.0	159.0	219.0
Otu27	83.0	82.0	91.0
Otu19	218.0	163.0	163.0
Otu40	92.0	89.0	110.0
Otu25	167.0	128.0	164.0
Otu32	88.0	51.0	85.0
Otu43	154.0	144.0	167.0
Otu20	235.0	146.0	175.0
Otu33	169.0	133.0	199.0
Otu16	195.0	159.0	180.0
Otu38	396.0	288.0	440.0
Otu24	174.0	145.0	197.0
Otu34	98.0	63.0	99.0
Otu37	118.0	104.0	119.0
Otu22	54.0	35.0	42.0
Otu14	234.0	199.0	281.0
Otu42	51.0	21.0	40.0
Otu21	132.0	90.0	147.0
Otu31	11.0	9.0	17.0
